	$t$(s)	$q$ = 3.450	$q$ = 3.476	$q$ = 3.503	$q$ = 3.530	$q$ = 3.557
0	1e-06	5.27595208900532e-17	5.275952089005322e-17	5.2759520890053246e-17	5.275952089005326e-17	5.275952089005324e-17
1	1.577386658866742e-06	5.275952089005324e-17	5.275952089005323e-17	5.275952089005324e-17	5.275952089005322e-17	5.2759520890053246e-17
2	2.4881486715707884e-06	5.2759520890053246e-17	5.2759520890053246e-17	5.275952089005324e-17	5.275952089005324e-17	5.275952089005323e-17
3	3.924772519812769e-06	5.275952089005326e-17	5.275952089005322e-17	5.275952089005323e-17	5.2759520890053246e-17	5.275952089005324e-17
4	6.1908838118394665e-06	5.275952089005324e-17	5.275952089005324e-17	5.275952089005324e-17	5.275952089005322e-17	5.275952089005323e-17
5	9.765417531389677e-06	5.275952089005323e-17	5.275952089005322e-17	5.275952089005323e-17	5.275952089005323e-17	5.275952089005324e-17
6	1.540383933227747e-05	5.275952089005323e-17	5.2759520890053246e-17	5.275952089005323e-17	5.275952089005323e-17	5.275952089005323e-17
7	2.4297810658061313e-05	5.275952089005322e-17	5.275952089005322e-17	5.275952089005326e-17	5.275952089005323e-17	5.275952089005322e-17
8	3.8327042371696044e-05	5.275952089005323e-17	5.275952089005326e-17	5.275952089005322e-17	5.2759520890053246e-17	5.275952089005322e-17
9	6.0456565310933676e-05	5.275952089005324e-17	5.275952089005323e-17	5.275952089005323e-17	5.275952089005322e-17	5.275952089005324e-17
10	9.536337956237283e-05	8.561176849129353e-18	8.561176849129448e-18	3.0660348869591314e-17	3.0660348869591314e-17	3.066034886959133e-17
11	0.00015042492266613224	3.716140940016155e-18	2.0838494638274882e-17	2.08384946382749e-17	1.8448922286990724e-17	1.8448922286990672e-17
12	0.00023727826617461837	3.42380817649732e-17	4.1604472438460526e-17	4.106217832413614e-17	4.842856899762354e-17	6.41482003237513e-17
13	0.0003742795715028752	5.874058544626317e-18	9.863786784285719e-18	6.214242383904951e-17	4.301511565021279e-17	5.794671559011334e-17
14	0.0005903836027749967	6.459000397394753e-17	1.3313511211762295e-18	2.9137731428899884e-17	1.1350067496004114e-16	3.285489885252431e-17
15	0.0009312632186309618	1.8840780345478444e-17	1.0924350050358893e-16	3.340314487194199e-17	3.407969128472843e-17	8.558577168350793e-17
16	0.0014689621769617823	3.688080449503129e-17	1.4594711022317708e-17	4.5018023445332126e-17	8.99957849219148e-18	5.788586672389662e-17
17	0.0023171213403193644	5.433745300843671e-17	1.547923360326064e-17	2.5215966490721847e-17	8.44516418418191e-17	5.584726484017149e-17
18	0.003654996289195189	8.10914423684716e-17	9.864105642471285e-17	6.00230236324387e-17	4.368611371217676e-17	4.5853348777663475e-17
19	0.005765342384783946	1.8658688080478404e-17	2.8482407917942335e-17	4.800213505217618e-17	7.033359933453067e-17	5.853455000688084e-17
20	0.009094174161557172	5.084589409369992e-17	8.279527960256107e-17	2.912164244670434e-17	5.290391113368211e-17	4.466284077892818e-17
21	0.014345028995850922	3.813950271448252e-17	1.0739685745725893e-16	7.455496744473042e-17	3.241424889009621e-17	1.1900186032383682e-16
22	0.022627657359111864	3.7667419555964383e-17	4.050338241781105e-18	4.3701839550710886e-17	7.796207688180361e-17	4.6348770217434795e-17
23	0.03569256483967091	3.8274394331574034e-17	3.307512965211799e-17	5.393864055369931e-17	3.6499108712373863e-17	3.6199278671445147e-17
24	0.05630097559883305	5.756453936204759e-16	4.584196108261617e-16	3.6835891236349086e-16	2.9126253451582095e-16	2.8808064322854196e-16
25	0.08880840779078142	9.38647446904258e-15	8.060172215539604e-15	6.94153803382432e-15	5.980710911985e-15	5.126272543075365e-15
26	0.14008519764437583	1.4596742014726313e-13	1.2526390892299461e-13	1.0750568711123599e-13	9.233408886068532e-14	7.935753916308158e-14
27	0.22096852186894916	2.2490765240987176e-12	1.9298969300026574e-12	1.6565122907178726e-12	1.4224306991771092e-12	1.221768749384765e-12
28	0.34855279842558506	2.6097063836650858e-05	2.2346807582364052e-05	1.9147998246331108e-05	1.641708219919221e-05	1.4083633458655546e-05
29	0.5498025341471866	0.000508284070742844	0.00041930155947898714	0.0003484001287473912	0.00029118229599196354	0.00024452903852028543
30	0.8672511823748986	0.0025418587000694474	0.0027305398568285163	0.0029882425989032277	0.003356159705876953	0.003916076612316621
31	1.3679904449645754	0.021920465340135156	0.022345925524460773	0.022535098765477483	0.02246136927117274	0.022111652515090795
32	2.1578498773442996	2.2082610327602372e-10	1.658282202847951e-10	1.2460585355263017e-10	9.368795462957985e-11	7.048457831528972e-11
33	3.4037636083601335	2.65276330216756e-10	1.7117010892794688e-10	1.1054320649042753e-10	7.14508636643095e-11	4.62229440728771e-11
34	5.369051305763408	0.5030759724049095	0.5030663882328614	0.5030638322037604	0.5030761449966878	0.5030875536478219
35	8.46906990048226	0.5030739598718452	0.5030739466195272	0.5030739369491435	0.5030739264383106	0.5030739179591001
36	13.358997874030603	0.5030749661874742	0.5030748277294859	0.5030747065959165	0.5030745997795059	0.5030745083069145
37	21.072305022325086	0.5030859365848163	0.5030844273318941	0.5030831074094677	0.5030819557470714	0.5030809493699283
38	33.23917281378623	0.5032040396858685	0.5031878902247205	0.5031737637105155	0.50316140530522	0.5031505919114044
39	52.43102774823251	0.5044191120016278	0.5042569940819797	0.5041143278045085	0.5039888129944436	0.5038784107116027
40	82.70400368073409	0.5151051727499029	0.5137953399693456	0.5126196181244224	0.5115658475666589	0.5106226764901044
41	130.45619204085614	0.5741518486564255	0.5686330164414556	0.5633910451918798	0.5584351301327714	0.5537701526284848
42	205.7798568918037	0.6820577267703641	0.6774809457798183	0.6725906431856634	0.6673970943537614	0.661916533385747
43	324.5944009246392	0.7196900596606602	0.7190238126467727	0.7182660080435718	0.7174058339443502	0.7164315897605651
44	512.0108775613694	0.7238104452619211	0.7237575658944877	0.7236964229331123	0.7236257777312454	0.7235442166705074
45	807.6391274599553	0.7241159857019618	0.7241123774033161	0.7241081884679108	0.724103327555117	0.7240976893138549
46	1273.9591848341122	0.7241364948535056	0.7241362576405538	0.724135981979578	0.7241356617518856	0.7241352898825023
47	2009.5262220980828	0.724137837608023	0.7241378221590947	0.7241378042016016	0.7241377833351668	0.7241377590965474
48	3169.799853380395	0.7241379249661757	0.7241379239624317	0.724137922795626	0.7241379214397148	0.724137919864559
49	5000.0	0.7241379306404827	0.7241379305753074	0.7241379304995424	0.724137930411497	0.7241379303092127
